rank,model,threshold,n_parameters,best_epoch,train_seconds,roc_auc,f1,recall,precision,pr_auc,accuracy,balanced_accuracy,mcc
1,wide_deep,0.6532968878746033,11672,8,12.38,0.9370064279155188,0.3448275862068966,0.7575757575757576,0.22321428571428573,0.3585010997520177,0.9071358748778103,0.8348484848484848,0.3789524343073431
2,mlp,0.6020554304122925,3777,9,18.22,0.932139577594123,0.30864197530864196,0.7575757575757576,0.1937984496124031,0.32188105626863833,0.8905180840664711,0.8262626262626263,0.34730279314232243
3,deep_fc,0.6381216645240784,50113,9,16.35,0.9309458218549128,0.3058823529411765,0.7878787878787878,0.1897810218978102,0.33883713418260925,0.884652981427175,0.8378787878787879,0.35058097611013395
4,residual,0.4214879274368286,103937,12,21.67,0.9276706458524641,0.26262626262626265,0.7878787878787878,0.15757575757575756,0.32868808817145084,0.8572825024437928,0.8237373737373737,0.3110368078456389
