epoch,train_loss,val_loss,lr,seconds,val_roc_auc,val_f1,val_accuracy
1,1.3499412403874944,0.8048883969017021,0.001,0.6014895419999995,0.9116008570554025,0.23481781376518218,0.8152492668621701
2,0.9086765435264966,0.7239058825277513,0.001,0.23702479099999962,0.9265687174778084,0.25,0.8240469208211144
3,0.8024329362913619,0.6942235525635564,0.001,0.23205287499999727,0.9269972451790633,0.2672811059907834,0.844574780058651
4,0.7430325742665013,0.7131359827133917,0.001,0.2342102500000003,0.9121518212427303,0.2577777777777778,0.8367546432062561
5,0.7376456061124852,0.7096994218005929,0.001,0.2338515000000001,0.9128558310376492,0.25806451612903225,0.8426197458455523
6,0.7370120297556225,0.6826490540192157,0.001,0.23398666599999984,0.9260483624119988,0.2672811059907834,0.844574780058651
7,0.6996519273241036,0.6809033410348734,0.001,0.23305904200000072,0.9273033363942456,0.31016042780748665,0.873900293255132
8,0.6819372299380355,0.6471026220512763,0.001,0.23271229099999857,0.9338842975206612,0.28431372549019607,0.8572825024437928
9,0.6709459359081891,0.6361810922156564,0.001,0.2328771670000016,0.9373737373737374,0.273972602739726,0.844574780058651
10,0.6792886685193671,0.6501506485139636,0.001,0.23269129199999838,0.9344046525864707,0.2885572139303483,0.8602150537634409
11,0.6626941147038903,0.640770981767427,0.001,0.23275929200000078,0.9370676461585553,0.3020833333333333,0.8690127077223851
12,0.6238740521570734,0.6961863491891765,0.001,0.23500591699999873,0.9200489745944291,0.27488151658767773,0.8504398826979472
13,0.7150013431572649,0.7147311557189926,0.001,0.23311062499999835,0.9176002448729721,0.27586206896551724,0.8563049853372434
14,0.634845386042476,0.6519207832925131,0.001,0.23330070799999802,0.9363942454851546,0.2914572864321608,0.8621700879765396
15,0.651936974736247,0.7066640314934657,0.0005,0.2336914589999992,0.9217630853994491,0.2914572864321608,0.8621700879765396
16,0.7045124888532496,0.6703413778211365,0.0005,0.23309679199999778,0.9329660238751147,0.31693989071038253,0.8778103616813294
17,0.6085615711481397,0.6563256070935481,0.0005,0.2355879999999999,0.9341903887358433,0.2871287128712871,0.8592375366568915
18,0.5993593813999379,0.6696365210550854,0.0005,0.23584883400000223,0.9309458218549128,0.2885572139303483,0.8602150537634409
19,0.5802256913897428,0.7006816868383514,0.0005,0.23358975000000015,0.9227425772880319,0.29441624365482233,0.8641251221896383
