epoch,train_loss,val_loss,lr,seconds,val_roc_auc,val_f1,val_accuracy
1,1.049692064423794,0.885516284410555,0.001,1.1070630410000035,0.9088766452402816,0.36507936507936506,0.9217986314760508
2,0.9468366638022649,0.8853347258950025,0.001,0.3269590000000022,0.9070400979491889,0.3310344827586207,0.9051808406647116
3,0.7398455204165459,0.7705328998211425,0.001,0.3280912080000036,0.9217936945209673,0.33783783783783783,0.9042033235581622
4,0.7346540151990086,0.6726274217678305,0.001,0.32787670899999455,0.9349250076522804,0.28717948717948716,0.8641251221896383
5,0.6511258553770536,0.746138464145996,0.001,0.3267471670000006,0.9278543005815734,0.31137724550898205,0.8875855327468231
6,0.7601362878162856,0.7763462430512568,0.001,0.3281228330000019,0.9196204468931741,0.32098765432098764,0.8924731182795699
7,0.655543851110637,0.7821901983063475,0.001,0.3302965000000029,0.9214876033057852,0.3068181818181818,0.8807429130009775
8,0.664653820463154,0.8068638506289918,0.001,0.32805966599999437,0.9245179063360882,0.3424657534246575,0.906158357771261
9,0.6736396183676373,0.6626619263128801,0.001,0.3289774169999973,0.9340985613712887,0.28019323671497587,0.8543499511241447
10,0.6476731351491867,0.754615998454574,0.001,0.33030337499999973,0.9298745026017753,0.34782608695652173,0.8973607038123167
11,0.6731024861910196,0.6609028880780277,0.001,0.3294905000000057,0.9377104377104377,0.31901840490797545,0.8914956011730205
12,0.6238597780934375,0.6091865929224158,0.001,0.3281649580000021,0.9420569329660238,0.31213872832369943,0.8836754643206256
13,0.6545999209485712,0.7497783166630411,0.001,0.3295450409999958,0.9310376492194674,0.3291139240506329,0.8963831867057673
14,0.6219150786651597,0.8619311511924423,0.001,0.3278522920000029,0.9211509029690848,0.34965034965034963,0.9090909090909091
15,0.5538382755243976,0.727579017538479,0.001,0.32883408400000036,0.936179981634527,0.348993288590604,0.9051808406647116
16,0.5866672701239212,0.7137457979214855,0.001,0.3296547919999995,0.9376186103458831,0.33766233766233766,0.9002932551319648
17,0.5831857775582874,0.8234053185083999,0.001,0.3288517920000018,0.9256198347107438,0.3611111111111111,0.9100684261974584
18,0.5936139062243688,0.9390298479463348,0.0005,0.32973241699999534,0.9128864401591674,0.3067484662576687,0.8895405669599218
19,0.592281200814342,0.7192104996590787,0.0005,0.33098733300000305,0.9295990205081115,0.28865979381443296,0.8651026392961877
20,0.49952698565618364,0.7170361892801809,0.0005,0.32916141599999804,0.9372513008876646,0.34177215189873417,0.8983382209188661
21,0.4852506696909398,0.709329409974528,0.0005,0.3309880420000013,0.935016835016835,0.3333333333333333,0.8944281524926686
22,0.5504077333537832,0.7982790749793178,0.0005,0.3299592500000017,0.9352004897459443,0.35064935064935066,0.9022482893450635
