model,split,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,mcc,cohen_kappa,log_loss,brier_score
mlp,val,0.6020554304122925,0.8905180840664711,0.2116788321167883,0.8787878787878788,0.3411764705882353,0.9403122130394858,0.4107143662444235,0.8848484848484848,0.39931644812544403,0.3050440352281827,0.33917069996525023,0.10156490960399588
mlp,test,0.6020554304122925,0.8905180840664711,0.1937984496124031,0.7575757575757576,0.30864197530864196,0.932139577594123,0.32188105626863833,0.8262626262626263,0.34730279314232243,0.27120067170445006,0.36349872035672304,0.10501558763375247
deep_fc,val,0.6381216645240784,0.8875855327468231,0.20714285714285716,0.8787878787878788,0.3352601156069364,0.9373737373737374,0.37882844237295304,0.8833333333333333,0.39412753662615624,0.2986425339366514,0.3339106882995608,0.10539092482558492
deep_fc,test,0.6381216645240784,0.884652981427175,0.1897810218978102,0.7878787878787878,0.3058823529411765,0.9309458218549128,0.33883713418260925,0.8378787878787879,0.35058097611013395,0.26781425140112103,0.34962957976439013,0.10927144750436374
residual,val,0.4214879274368286,0.8602150537634409,0.17647058823529413,0.9090909090909091,0.2955665024630542,0.9420569329660238,0.3732765480197476,0.8838383838383839,0.3643795445336387,0.25533344532168667,0.2949164179262343,0.08722348437603633
residual,test,0.4214879274368286,0.8572825024437928,0.15757575757575756,0.7878787878787878,0.26262626262626265,0.9276706458524641,0.32868808817145084,0.8237373737373737,0.3110368078456389,0.22073002754820947,0.3322003407631727,0.0930585176786816
wide_deep,val,0.6532968878746033,0.9188660801564027,0.2641509433962264,0.8484848484848485,0.4028776978417266,0.938904193449648,0.39539611377102285,0.8848484848484849,0.4462279234695618,0.3719794971930681,0.2910289386184956,0.08773078501325246
wide_deep,test,0.6532968878746033,0.9071358748778103,0.22321428571428573,0.7575757575757576,0.3448275862068966,0.9370064279155188,0.3585010997520177,0.8348484848484848,0.3789524343073431,0.3104659330367596,0.31780879392763584,0.09315821294891527
