epoch,train_loss,val_loss,lr,seconds,val_roc_auc,val_f1,val_accuracy
1,1.09451670482327,0.8081557075415655,0.001,0.8452854159999958,0.9085705540250995,0.22924901185770752,0.8093841642228738
2,0.7532803994940432,0.7205591573510118,0.001,0.17421662499999968,0.916559534741353,0.2636363636363636,0.841642228739003
3,0.6963639199396562,0.6504404241271965,0.001,0.1757257920000015,0.934435261707989,0.2577777777777778,0.8367546432062561
4,0.7353543182875959,0.6528005172313717,0.001,0.17565866700000043,0.9324456688093051,0.3118279569892473,0.8748778103616813
5,0.6353095886019473,0.6929170840937837,0.001,0.17421945800000316,0.9232323232323232,0.3010752688172043,0.8729227761485826
6,0.6333821103204703,0.7098993857992942,0.001,0.175350832999996,0.9176002448729722,0.3333333333333333,0.8866080156402737
7,0.6621100502445741,0.6769037977633006,0.001,0.17416204099999533,0.928956228956229,0.2955665024630542,0.8602150537634409
8,0.613345781637392,0.6236402480366876,0.001,0.17430279200000598,0.938904193449648,0.32044198895027626,0.8797653958944281
9,0.6093339901811643,0.7135924983001292,0.001,0.17415249999999816,0.9219773492500765,0.3314285714285714,0.8856304985337243
10,0.6096000246798845,0.6619017990861353,0.001,0.17497987499999823,0.9353229262320171,0.3020833333333333,0.8690127077223851
11,0.6019653940185821,0.6450972865870038,0.001,0.1749793749999995,0.9354453627180901,0.3,0.863147605083089
12,0.5676268356515256,0.669034775546802,0.001,0.1741293749999997,0.9323844505662688,0.3333333333333333,0.8866080156402737
13,0.6058242441491214,0.7205637507541205,0.001,0.17687995799999356,0.9247015610651974,0.3240223463687151,0.8817204301075269
14,0.596002922183234,0.693339708671775,0.0005,0.17509400000000142,0.9286195286195287,0.3240223463687151,0.8817204301075269
15,0.5888761899367884,0.6593921998204374,0.0005,0.174553791000001,0.933700642791552,0.2871287128712871,0.8592375366568915
16,0.5729362014302563,0.6938626188803045,0.0005,0.1735316669999989,0.9299051117232935,0.34146341463414637,0.8944281524926686
17,0.5611455655312753,0.6707321205854649,0.0005,0.17418037499999883,0.9331190694827058,0.31868131868131866,0.8787878787878788
18,0.5591143509975999,0.7290704891537175,0.0005,0.17399299999999585,0.9232017141108051,0.3020833333333333,0.8690127077223851
