rank,model,threshold,cv_mean,train_seconds,roc_auc,f1,recall,precision,pr_auc,accuracy,balanced_accuracy,mcc
1,extra_trees,0.19038833143173758,0.923886567266849,15.49,0.9395163758800122,0.373134328358209,0.7575757575757576,0.24752475247524752,0.4379569290099973,0.9178885630498533,0.8404040404040404,0.4032488353588726
2,random_forest,0.04126875758011726,0.9207099730498186,8.81,0.9378022650749923,0.24561403508771928,0.8484848484848485,0.14358974358974358,0.40538538031303056,0.8318670576735093,0.8398989898989899,0.30578907329650784
3,xgboost,0.002682063262909651,0.9075712701655455,1.92,0.9349250076522804,0.25,0.8484848484848485,0.14659685863874344,0.39695360161802157,0.8357771260997068,0.841919191919192,0.31006282140107777
4,logistic_regression,0.39932543688142896,0.9266220588437764,6.33,0.9240893786348332,0.22672064777327935,0.8484848484848485,0.1308411214953271,0.2831191272899656,0.8132942326490714,0.8303030303030303,0.28696965359550547
5,naive_bayes,2.150711062983006e-05,0.9207460175747318,6.91,0.9152433425160698,0.2639593908629442,0.7878787878787878,0.15853658536585366,0.23520796117740636,0.8582600195503421,0.8242424242424242,0.3122884303262099
6,svm,0.02774236573973507,0.89509431933103,1336.33,0.9100091827364554,0.25316455696202533,0.9090909090909091,0.14705882352941177,0.2696628426936489,0.8269794721407625,0.8666666666666667,0.3242790998024684
7,mlp,0.06584420484604037,0.8406132491366476,8.09,0.9045607591062137,0.2905027932960894,0.7878787878787878,0.1780821917808219,0.29244991231787976,0.8758553274682307,0.8333333333333333,0.3367495961833807
8,knn,0.0559085666739849,0.8755812578052471,193.23,0.8533976124885214,0.2751322751322751,0.7878787878787878,0.16666666666666666,0.30477367845836145,0.8660801564027371,0.8282828282828283,0.32268656304136434
9,decision_tree,0.8300089847259638,0.8118634982060697,0.21,0.8109121518212428,0.3111111111111111,0.6363636363636364,0.20588235294117646,0.22627893061985277,0.9090909090909091,0.7772727272727273,0.3270256489217506
