rank,model,threshold,n_parameters,best_epoch,train_seconds,roc_auc,f1,recall,precision,pr_auc,accuracy,balanced_accuracy,mcc
1,tabular_encoder,0.675885796546936,71361,14,318.17,0.9393021120293847,0.33540372670807456,0.8181818181818182,0.2109375,0.41122075975451156,0.895405669599218,0.8580808080808081,0.38244510383686386
2,tab_transformer,0.46946021914482117,128461,3,496.3,0.9329660238751147,0.3103448275862069,0.8181818181818182,0.19148936170212766,0.33675087148559973,0.8826979472140762,0.8515151515151516,0.36033360225809186
3,ft_transformer,0.512583315372467,103489,3,396.34,0.8241812059993878,0.1393258426966292,0.9393939393939394,0.07524271844660194,0.09386067524833469,0.6256109481915934,0.7772727272727273,0.19977562772190532
