model,split,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,mcc,cohen_kappa,log_loss,brier_score
ft_transformer,val,0.512583315372467,0.624633431085044,0.07506053268765134,0.9393939393939394,0.13901345291479822,0.808631772268136,0.12698429708533016,0.7767676767676768,0.19933336019397185,0.0843076923076923,0.6706948097275489,0.23890621601239512
ft_transformer,test,0.512583315372467,0.6256109481915934,0.07524271844660194,0.9393939393939394,0.1393258426966292,0.8241812059993878,0.09386067524833469,0.7772727272727273,0.19977562772190532,0.08465037391103225,0.6707122640321177,0.2389065485758106
tab_transformer,val,0.46946021914482117,0.8905180840664711,0.2158273381294964,0.9090909090909091,0.3488372093023256,0.9422711968166513,0.3873735583210461,0.8994949494949495,0.41198587222045935,0.31301939058171757,0.34988469007591716,0.0976705094972485
tab_transformer,test,0.46946021914482117,0.8826979472140762,0.19148936170212766,0.8181818181818182,0.3103448275862069,0.9329660238751147,0.33675087148559973,0.8515151515151516,0.36033360225809186,0.272300469483568,0.37262694535241875,0.10387332460300273
tabular_encoder,val,0.675885796546936,0.9159335288367546,0.26126126126126126,0.8787878787878788,0.4027777777777778,0.9436792164064891,0.4242678459817027,0.897979797979798,0.4521751398451003,0.37152286657237155,0.2802561362920077,0.08993390288756782
tabular_encoder,test,0.675885796546936,0.895405669599218,0.2109375,0.8181818181818182,0.33540372670807456,0.9393021120293847,0.41122075975451156,0.8580808080808081,0.38244510383686386,0.2994720168954593,0.3119865158527518,0.1008586505290756
