epoch,train_loss,val_loss,lr,seconds,val_roc_auc,val_f1,val_accuracy
1,0.8493771393194705,0.6694108946640354,0.0004996573836886434,1.8332898749999913,0.9388735843281298,0.3576158940397351,0.9051808406647116
2,0.6727431038003934,0.6794770234432854,0.0004986304738420682,1.8647668749999866,0.9376186103458831,0.23134328358208955,0.7986314760508308
3,0.7782656708254195,0.6382216148129423,0.0004969220851487844,1.903493291000018,0.9422711968166513,0.34394904458598724,0.8993157380254154
4,0.7140824988830922,0.7439998548517945,0.0004945369001834514,1.9435325829999783,0.9376492194674013,0.37037037037037035,0.916911045943304
5,0.6132406413605097,0.8332589516308767,0.0004914814565722671,1.8917860000000246,0.9393021120293847,0.3472222222222222,0.9081133919843597
6,0.736468861099249,0.7078440489715379,0.00048776412907378846,1.8589850000000183,0.9417814508723601,0.37681159420289856,0.9159335288367546
7,0.6331496343107161,0.6733913178376322,0.00048339510662430044,1.8417832920000023,0.9377104377104377,0.2857142857142857,0.8582600195503421
8,0.598349359180726,0.7436093269088984,0.0004783863644106502,1.853977499999985,0.9390572390572391,0.3333333333333333,0.8944281524926686
9,0.5782207732627208,0.8750911515537478,0.00047275163104709196,1.90446104199998,0.9353229262320171,0.33112582781456956,0.9012707722385142
10,0.7008913109294029,0.7810848976684805,0.00046650635094610973,2.041730625000014,0.9397306397306397,0.38571428571428573,0.9159335288367546
11,0.5624312723354801,0.8217291671451352,0.00045966764198635603,1.8784461660000034,0.9374043464952556,0.3333333333333333,0.8944281524926686
12,0.5998054939622077,0.8411922756353082,0.0004522542485937369,1.8693089580000333,0.9407407407407409,0.3870967741935484,0.9257086999022482
13,0.6020851781876263,1.4105341830095122,0.00044428649036424276,2.0351974170000062,0.9351392715029079,0.39215686274509803,0.9393939393939394
