epoch,train_loss,val_loss,lr,seconds,val_roc_auc,val_f1,val_accuracy
1,1.3529725507847699,1.4914973033837908,0.0004996573836886434,1.621007333,0.162105907560453,0.02254791431792559,0.15249266862170088
2,1.362697948856022,1.4583514099130417,0.0004986304738420682,1.2161419589999998,0.224058769513315,0.06273764258555133,0.03616813294232649
3,1.3637149049355104,1.257930663498965,0.0004969220851487844,1.2660371249999995,0.808631772268136,0.11764705882352941,0.530791788856305
4,1.3505201811763492,1.3325856526110063,0.0004945369001834514,1.1920699159999995,0.5496479951025406,0.07058823529411765,0.15053763440860216
5,1.3480685457053385,1.4014784241002327,0.0004914814565722671,1.1882420409999996,0.37731864095500456,0.06273764258555133,0.03616813294232649
6,1.3521205061840207,1.4019210645064115,0.00048776412907378846,1.1637792919999992,0.39519436792164064,0.06255924170616113,0.033235581622678395
7,1.3475694330688195,1.405392453467741,0.00048339510662430044,1.1741124590000016,0.3266911539638813,0.06255924170616113,0.033235581622678395
8,1.3440248670254318,1.386887726546033,0.0004783863644106502,1.171402582999999,0.3909703091521273,0.06267806267806268,0.03519061583577713
9,1.3472406231780085,1.3831946425657002,0.00047275163104709196,1.1590962079999994,0.4187021732476277,0.06267806267806268,0.03519061583577713
10,1.3500656496671768,1.4134908415821408,0.00046650635094610973,1.1776508330000013,0.24490358126721765,0.0625,0.03225806451612903
11,1.3419489287341038,1.4012855407895697,0.00045966764198635603,1.1819025419999996,0.4110192837465565,0.06267806267806268,0.03519061583577713
12,1.3321556551461946,1.4430712983522014,0.0004522542485937369,1.1702669579999991,0.2667891031527395,0.0625,0.03225806451612903
13,1.342631535287326,1.4108809927225345,0.00044428649036424276,1.1582718330000006,0.3606060606060606,0.06279733587059944,0.03714565004887586
