epoch,train_loss,val_loss,lr,seconds
1,4.834867477416992,4.634816229401679,0.0009972609476841367,0.5475322499999997
2,4.6086135970221624,4.575568340391008,0.0009890738003669028,0.43065895799999865
3,4.564779149161445,4.541048706218761,0.0009755282581475768,0.43908058300000086
4,4.544237481223212,4.524868737684084,0.0009567727288213003,0.42850558299999975
5,4.526290787590875,4.511805179648152,0.0009330127018922195,0.42939374999999913
6,4.523625347349379,4.510587745864138,0.0009045084971874739,0.43815095800000137
7,4.505334403779772,4.5089813448699925,0.0008715724127386972,0.4327762909999997
8,4.503590689765082,4.4965585921167275,0.0008345653031794292,0.427408290999999
9,4.5018924077351885,4.499029712360043,0.0007938926261462366,0.43577087499999934
10,4.495283709632026,4.487344237949375,0.00075,0.4254482909999986
11,4.49127729733785,4.482968789041916,0.0007033683215379003,0.43063774999999893
12,4.488365093866984,4.478015889869757,0.0006545084971874739,0.42891829199999876
13,4.485064718458387,4.476577982058856,0.0006039558454088797,0.42639854200000116
14,4.482332176632351,4.468140454819009,0.0005522642316338269,0.4315692910000024
15,4.477084716161092,4.473062529242283,0.0005000000000000002,0.4280075829999994
16,4.47739118999905,4.471878812459907,0.0004477357683661734,0.431146708
17,4.4715142250061035,4.467221100658965,0.00039604415459112036,0.4388751670000026
18,4.470439010196262,4.471377797839928,0.0003454915028125264,0.4395217500000008
19,4.471906609005398,4.468182222584476,0.00029663167846210003,0.4331930409999991
20,4.466045326656765,4.463801629615553,0.00025000000000000017,0.428648625000001
21,4.467093096839057,4.462018490303763,0.00020610737385376354,0.4296869579999978
22,4.464231252670288,4.46241473405825,0.00016543469682057108,0.428473541999999
23,4.4653772248162165,4.45607620996231,0.00012842758726130303,0.4294081659999982
24,4.4615987406836615,4.459565212999271,9.549150281252637e-05,0.4366771249999992
25,4.461603615019056,4.460375007413116,6.698729810778068e-05,0.42831937500000095
26,4.458269172244602,4.452876962641234,4.322727117869953e-05,0.428493207999999
27,4.460454887813992,4.457749511256362,2.447174185242324e-05,0.49303058399999955
28,4.458663092719184,4.454955662683541,1.092619963309716e-05,0.43099079099999926
29,4.456439680523342,4.453590455526014,2.7390523158633003e-06,0.43087729099999805
30,4.457442972395155,4.454256879968727,0.0,0.4291029160000015
