model,split,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,mcc,cohen_kappa,log_loss,brier_score
mlp,val,0.6229417941310518,0.9012707722385142,0.22580645161290322,0.8484848484848485,0.35668789808917195,0.9340067340067341,0.38480687542733877,0.8757575757575757,0.4068381021724862,0.3221476510067114,0.2994343070035453,0.09636507613165576
mlp,test,0.6229417941310518,0.8885630498533724,0.19548872180451127,0.7878787878787878,0.3132530120481928,0.9336700336700336,0.3009876902757475,0.8398989898989899,0.3571359859663987,0.27581967213114766,0.32852175726450955,0.10352608138742461
residual,val,0.7155274454538216,0.9217986314760508,0.26732673267326734,0.8181818181818182,0.40298507462686567,0.924640342822161,0.4005379356642788,0.8717171717171717,0.44034294187556416,0.3724696356275303,0.3130002579710804,0.10151225459469243
residual,test,0.7155274454538216,0.9100684261974584,0.22935779816513763,0.7575757575757576,0.352112676056338,0.9375880012243649,0.35528758063422694,0.8363636363636364,0.38523634607646434,0.3183556405353729,0.3234089290605435,0.10386784059319058
transformer,val,0.5725696018876861,0.8768328445747801,0.19205298013245034,0.8787878787878788,0.31521739130434784,0.9357820630547904,0.3630427582697913,0.8777777777777778,0.3763520226168586,0.2769344687152906,0.3189249086935001,0.10313388591019308
transformer,test,0.5725696018876861,0.8748778103616813,0.18543046357615894,0.8484848484848485,0.30434782608695654,0.938475665748393,0.3228658737948002,0.8621212121212121,0.3607545457437,0.2654572380599778,0.3383569341734032,0.10904427027828445
