rank,model,embedding_dim,threshold,n_parameters,best_epoch,train_seconds,roc_auc,f1,recall,precision,pr_auc,accuracy,balanced_accuracy,mcc
1,transformer,64,0.5725696018876861,21376,3,16.87,0.938475665748393,0.30434782608695654,0.8484848484848485,0.18543046357615894,0.3228658737948002,0.8748778103616813,0.8621212121212121,0.3607545457437
2,residual,64,0.7155274454538216,420672,26,13.96,0.9375880012243649,0.352112676056338,0.7575757575757576,0.22935779816513763,0.35528758063422694,0.9100684261974584,0.8363636363636364,0.38523634607646434
3,mlp,64,0.6229417941310518,47808,26,11.84,0.9336700336700336,0.3132530120481928,0.7878787878787878,0.19548872180451127,0.3009876902757475,0.8885630498533724,0.8398989898989899,0.3571359859663987
