epoch,train_loss,val_loss,lr,seconds
1,5.001172516081068,4.749623596959566,0.0009972609476841367,1.8752630840000002
2,4.7346460819244385,4.652995708983898,0.0009890738003669028,0.3592730829999997
3,4.678906944062975,4.617566293751856,0.0009755282581475768,0.297921208
4,4.658535454008314,4.598805474629034,0.0009567727288213003,0.2988800840000003
5,4.636432382795546,4.585045899813476,0.0009330127018922195,0.2996508750000002
6,4.630123270882501,4.579112085545634,0.0009045084971874739,0.2993757500000003
7,4.614877859751384,4.5754305386473355,0.0008715724127386972,0.29863462500000004
8,4.609914461771647,4.561765852095678,0.0008345653031794292,0.3006055829999994
9,4.609313673443264,4.563386479430884,0.0007938926261462366,0.29859687499999943
10,4.601055913501316,4.557514164105188,0.00075,0.2998781250000002
11,4.59655139181349,4.544854581297784,0.0007033683215379003,0.2989493750000003
12,4.5995615058475074,4.541448492924605,0.0006545084971874739,0.30128020799999966
13,4.591195185979207,4.541330549141295,0.0006039558454088797,0.29930570799999945
14,4.587588866551717,4.533553469798665,0.0005522642316338269,0.2968390420000002
15,4.584440973069933,4.538132367828608,0.0005000000000000002,0.297842790999999
16,4.583887206183539,4.5366195294630955,0.0004477357683661734,0.2993571250000002
17,4.580758889516194,4.531098601172514,0.00039604415459112036,0.2982029579999992
18,4.578147729237874,4.533839360942822,0.0003454915028125264,0.29884716599999983
19,4.574260049396091,4.5350343670663245,0.00029663167846210003,0.30248700000000106
20,4.573410352071126,4.53078421026847,0.00025000000000000017,0.3008201659999994
21,4.57624626159668,4.529435955767291,0.00020610737385376354,0.3065213750000009
22,4.574270592795478,4.5306057086321845,0.00016543469682057108,0.3051655000000011
23,4.575170252058241,4.5219225268210135,0.00012842758726130303,0.30047566699999884
24,4.574040571848552,4.5271277525557805,9.549150281252637e-05,0.29979524999999896
25,4.574310779571533,4.53084031391237,6.698729810778068e-05,0.3010201670000008
26,4.569555176628961,4.5212470704392835,4.322727117869953e-05,0.29985291700000083
27,4.5693747997283936,4.525574934447616,2.447174185242324e-05,0.2984626249999991
28,4.569963852564494,4.521239513292807,1.092619963309716e-05,0.29907350000000044
29,4.568898598353068,4.5245307631506595,2.7390523158633003e-06,0.2976492910000008
30,4.568500280380249,4.524546859551036,0.0,0.30204820899999874
